SimulationID,Condition,BossWin,TotalDmgDealt,TotalDmgReceived,Turns,ItemsUsed,HealsUsed,RevivesUsed
team3WithRofVegeta_metrics_57,Baseline3,0,27042089.0,571804.0,6,2,0,0
team3WithRofVegeta_metrics_58,Baseline3,0,24895069.0,557601.0,5,2,0,0
team3WithRofVegeta_metrics_59,Baseline3,0,18979894.0,502148.0,5,2,0,0
team3WithRofVegeta_metrics_6,Baseline3,0,26748997.0,455936.0,5,2,0,0
team3WithRofVegeta_metrics_60,Baseline3,1,45099931.0,510272.0,8,2,1,0
team3WithRofVegeta_metrics_61,Baseline3,1,43811473.0,529593.0,9,2,1,0
team3WithRofVegeta_metrics_62,Baseline3,0,28885812.0,497438.0,6,2,0,0
team3WithRofVegeta_metrics_63,Baseline3,1,44791241.0,539922.0,7,2,1,0
team3WithRofVegeta_metrics_64,Baseline3,0,29024478.0,477369.0,7,2,0,0
team3WithRofVegeta_metrics_65,Baseline3,0,31814872.0,829371.0,7,2,1,0
team3WithRofVegeta_metrics_66,Baseline3,0,35734244.0,785518.0,8,2,1,0
team3WithRofVegeta_metrics_67,Baseline3,1,44988539.0,527026.0,8,2,1,0
team3WithRofVegeta_metrics_68,Baseline3,0,40343595.0,523120.0,7,2,0,0
team3WithRofVegeta_metrics_69,Baseline3,0,23430580.0,485242.0,5,2,0,0
team3WithRofVegeta_metrics_7,Baseline3,1,44705076.0,396092.0,7,2,1,0
team3WithRofVegeta_metrics_70,Baseline3,0,35673603.0,562124.0,6,2,0,0
team3WithRofVegeta_metrics_71,Baseline3,0,23136037.0,474917.0,5,2,0,0
team3WithRofVegeta_metrics_72,Baseline3,1,43667142.0,617271.0,9,2,1,0
team3WithRofVegeta_metrics_73,Baseline3,0,23479366.0,440519.0,5,2,0,0
team3WithRofVegeta_metrics_74,Baseline3,1,45543409.0,488387.0,8,2,1,0
team3WithRofVegeta_metrics_75,Baseline3,0,19411673.0,597597.0,5,2,0,0
team3WithRofVegeta_metrics_76,Baseline3,0,27646488.0,449202.0,7,2,0,0
team3WithRofVegeta_metrics_77,Baseline3,1,44008286.0,615614.0,8,2,1,0
team3WithRofVegeta_metrics_78,Baseline3,1,45498609.0,446973.0,9,2,1,0
team3WithRofVegeta_metrics_79,Baseline3,0,29542212.0,911475.0,7,2,1,0
team3WithRofVegeta_metrics_8,Baseline3,0,20267465.0,439115.0,5,2,0,0
team3WithRofVegeta_metrics_80,Baseline3,0,35547587.0,596223.0,7,2,0,0
team3WithRofVegeta_metrics_81,Baseline3,0,31561053.0,999665.0,8,2,1,0
team3WithRofVegeta_metrics_82,Baseline3,0,22293669.0,432868.0,6,2,0,0
team3WithRofVegeta_metrics_83,Baseline3,0,28857725.0,621034.0,6,2,0,0
team3WithRofVegeta_metrics_84,Baseline3,0,30112688.0,805818.0,6,2,1,0
team3WithRofVegeta_metrics_85,Baseline3,0,22209034.0,644681.0,6,2,0,0
